symbol,exchange,quoterly_dividend_amount,upper_yield,lower_yield,updated_on
BBY,NYSE,0.94,5.4,4.016,2024-10-23 18:41
BCE.TO,TSX,0.9975,9.375,5.922,2024-11-15 9:51
BEN,NYSE,0.31,5.927,3.491,2024-10-23 18:41
BMO.TO,TSX,1.51,5.615,3.54,2024-10-23 18:41
BNS.TO,TSX,1.059,7.78,4.706,2024-10-23 18:41
CCA.TO,TSX,0.854,6.688,3.801,2024-10-23 18:41
CM.TO,TSX,0.9,6.033,4.273,2024-10-23 18:44
CNQ.TO,TSX,0.563,4.9813,3.7234,2024-12-16 15:59
CP.TO,TSX,0.19,0.802,0.6166,2024-10-23 18:44
CSCO,NASDAQ,0.4,3.576,1.5238,2024-10-23 19:03
CVE.TO,TSX,0.18,3.339,1.8747,2024-10-23 18:44
CVX,NYSE,1.63,4.507,3.502,2024-10-23 19:03
DG,NYSE,0.59,2.3175,1.061,2024-10-23 19:03
DUK,NYSE,1.025,4.917,3.514,2024-10-23 19:03
EL,NYSE,0.66,2.863,0.9401,2024-10-23 19:03
EMA.TO,TSX,0.725,6.4889,4.6551,2024-10-23 18:44
ENB.TO,TSX,0.915,8.28,5.781,2024-10-23 18:44
FM.TO,TSX,0.08,2.9,1.83,2024-10-23 18:44
FTS.TO,TSX,0.565,4.618,3.795,2024-10-23 18:44
GIS,NYSE,0.6,3.853,2.376,2024-10-23 19:03
GS,NYSE,2.75,3.801,2.127,2024-10-23 19:03
GWO.TO,TSX,0.555,5.768,4.774,2024-10-23 18:44
IGM.TO,TSX,0.563,7.396,4.377,2024-10-23 18:44
JNJ,NYSE,1.24,3.326,2.705,2024-10-23 19:03
K,NYSE,0.56,4.703,2.971,2024-10-23 19:03
KEY.TO,TSX,0.48,6.616,4.72,2024-10-23 18:44
KMB,NYSE,1.22,3.509,3.351,2024-10-23 19:03
KO,NYSE,0.485,3.569,2.784,2024-10-23 19:03
MFC.TO,TSX,0.4,6.14,5.115,2024-10-23 18:44
NA.TO,TSX,1.1,4.815,3.422,2024-10-23 18:44
NTR.TO,TSX,0.727,4.8612,3.0465,2024-10-23 18:44
PEP,NASDAQ,1.355,3.43,2.345,2024-10-23 19:03
PG,NYSE,1.007,3.43,2.624,2024-10-23 19:03
POW.TO,TSX,0.563,6.477,4.88,2024-11-19 15:55
RY.TO,TSX,1.42,4.294,4.313,2024-10-23 18:44
SBUX,NASDAQ,0.57,3.187,2.118,2024-10-23 19:03
SLF.TO,TSX,0.81,4.839,4.086,2024-10-23 18:44
SO,NYSE,0.72,4.243,3.227,2024-10-23 19:03
SU.TO,TSX,0.545,5.417,3.811,2024-10-23 18:44
T.TO,TSX,0.4023,7.665,4.87,2024-12-11 11:22
TD.TO,TSX,1.05,5.582,4.6469,2024-12-17 13:03
TGT,NYSE,1.1,4.275,2.419,2024-10-23 19:03
TXRH,NASDAQ,0.61,2.385,1.3973,2024-10-23 19:03
XOM,NYSE,0.95,3.968,3.131,2024-10-23 19:03
